iter	Passed	Remaining
774	1673	485
775	1674	483
776	1677	481
777	1679	479
778	1681	477
779	1683	474
780	1685	472
781	1687	470
782	1688	468
783	1690	465
784	1692	463
785	1694	461
786	1696	459
787	1698	456
788	1700	454
789	1701	452
790	1710	452
791	1717	451
792	1724	450
793	1731	449
794	1739	448
795	1746	447
796	1753	446
797	1760	445
798	1767	444
799	1771	442
800	1776	441
801	1779	439
802	1783	437
803	1786	435
804	1788	433
805	1791	431
806	1793	428
807	1795	426
808	1798	424
809	1800	422
810	1802	420
811	1804	417
812	1806	415
813	1807	413
814	1809	410
815	1811	408
816	1813	406
817	1815	403
818	1817	401
819	1819	399
820	1821	397
821	1823	394
822	1825	392
823	1827	390
824	1828	387
825	1831	385
826	1833	383
827	1834	381
828	1836	378
829	1838	376
830	1840	374
831	1842	372
832	1844	369
833	1846	367
834	1848	365
835	1850	362
836	1852	360
837	1853	358
838	1855	356
839	1857	353
840	1859	351
841	1861	349
842	1863	346
843	1865	344
844	1866	342
845	1868	340
846	1870	337
847	1872	335
848	1874	333
849	1876	331
850	1878	328
851	1880	326
852	1881	324
853	1883	322
854	1885	319
855	1887	317
856	1889	315
857	1891	313
858	1893	310
859	1895	308
860	1897	306
861	1898	303
862	1900	301
863	1902	299
864	1903	297
865	1905	294
866	1907	292
867	1909	290
868	1911	288
869	1913	285
870	1914	283
871	1916	281
872	1918	279
873	1919	276
874	1921	274
875	1923	272
876	1925	270
877	1927	267
878	1929	265
879	1930	263
880	1932	261
881	1934	258
882	1936	256
883	1938	254
884	1940	252
885	1942	249
886	1944	247
887	1946	245
888	1947	243
889	1949	240
890	1950	238
891	1953	236
892	1955	234
893	1956	232
894	1958	229
895	1960	227
896	1962	225
897	1963	223
898	1965	220
899	1967	218
900	1969	216
901	1971	214
902	1973	211
903	1974	209
904	1976	207
905	1977	205
906	1979	202
907	1981	200
908	1983	198
909	1985	196
910	1987	194
911	1989	191
912	1990	189
913	1992	187
914	1994	185
915	1996	183
916	1998	180
917	2000	178
918	2002	176
919	2004	174
920	2005	172
921	2007	169
922	2009	167
923	2011	165
924	2013	163
925	2015	161
926	2017	158
927	2019	156
928	2021	154
929	2022	152
930	2024	150
931	2026	147
932	2028	145
933	2030	143
934	2032	141
935	2033	139
936	2035	136
937	2037	134
938	2039	132
939	2041	130
940	2042	128
941	2045	125
942	2046	123
943	2048	121
944	2050	119
945	2052	117
946	2054	114
947	2056	112
948	2058	110
949	2061	108
950	2063	106
951	2064	104
952	2066	101
953	2068	99
954	2070	97
955	2072	95
956	2074	93
957	2076	91
958	2078	88
959	2080	86
960	2082	84
961	2084	82
962	2086	80
963	2087	77
964	2090	75
965	2092	73
966	2094	71
967	2095	69
968	2097	67
969	2099	64
970	2101	62
971	2103	60
972	2105	58
973	2107	56
974	2108	54
975	2110	51
976	2112	49
977	2114	47
978	2115	45
979	2117	43
980	2119	41
981	2121	38
982	2123	36
983	2125	34
984	2127	32
985	2128	30
986	2130	28
987	2132	25
988	2134	23
989	2137	21
990	2138	19
991	2140	17
992	2142	15
993	2144	12
994	2145	10
995	2147	8
996	2149	6
997	2151	4
998	2153	2
999	2155	0
